;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis;Ilosc
255;  KIOTO 5 - lampa sufitowa LED z drewna bukowego ;36;"https://lw-cdn.com/images/325AE793D63C/k_db9cf9ce8e3c429b82a522992510f825;w_353;h_353;q_70/kioto-5-lampa-sufitowa-led-z-drewna-bukowego.jpg";2388,54zł;Lampa sufitowa LED KIOTO 5 z drewna bukowego w stylu japońskim  Kwadratowa lampa sufitowa LED KIOTO 5 inspirowana jest tradycyjną japońską architekturą wnętrz. Oprawa z prawdziwego drewna bukowego oraz kosz z lunopalu wyraźnie nawiązują do ruchomych ekranów shōji stosowanych w japońskich wnętrzach do dzielenia pokoju. Duży klosz, który zdobi wzór w formie oprawy z drewna bukowego, rozprasza łagodne, przyjemne światło.  - do montażu w formie lampy wpuszczanej lub natynkowej -ściemniana za pomocą zewnętrznego ściemniacza LEDIM lub TEDIM  Marka dba o to, aby w czasie produkcji drewno nie straciło swego naturalnego piękna, dlatego do wykańczania powierzchni zamiast lakierów stosowane są oleje roślinne oraz naturalne woski. Lunopal to przypominające papier tworzywo sztuczne, które rozprasza przytulne światło i zachwyca również pod względem funkcjonalności. Jest odporne na promieniowanie UV, niełamliwe oraz nie żółknie i jest łatwe do czyszczenia.  Równowaga ekologiczna dzięki ręcznie wykonanym produktom z Niemiec – harmonijna koegzystencja człowieka i przyrody w centrum procesu produkcji oświetlenia  Jako producent oświetlenia marka DOMUS może poszczycić się długoletnim doświadczeniem, gdyż powstała w 1966 roku. Od tego czasu nie zmieniła swej filozofii wprowadzania światła do domów, udoskonalając przy tym proces produkcji z zachowaniem wysokiej jakości oraz równowagi ekologicznej. Nawet jeżeli produkcja odbywa się przy pomocy doskonałego pod względem technicznym sprzętu, marka DOMUS uważa się za manufakturę, w której utalentowani ludzie z oddaniem i znawstwem sztuki rzemiosła tworzą ręcznie wysokiej jakości lampy dla innych ludzi. We współpracy z projektantami, znawcami drewna, konstruktorami oraz projektantami oświetlenia powstają ponadczasowe i wytrzymałe pod względem technicznym lampy, które spełniają nawet najbardziej wygórowane oczekiwania klientów. Odpowiedzialność ekologiczna marki DOMUS przejawia się w stosowaniu w dużej mierze naturalnych surowców odnawialnych oraz unikaniu niepotrzebnego transportu w procesie produkcji w Niemczech. ;50
256;  Escale Zen - aluminiowa lampa sufitowa LED ;36;"https://lw-cdn.com/images/7F08F0F47EAA/k_e16ad7cd27b598277f43faad42aee311;w_353;h_353;q_70/escale-zen-aluminiowa-lampa-sufitowa-led.jpg";1986,10zł;Elegancka lampa sufitowa LED Zen, stylowo emitująca światło  Ta minimalistycznie zaprojektowana lampa sufitowa Zen, wykonana ze szlifowanego aluminium i białego szkła, zapewnia doskonałe oświetlenie z góry. Cztery elementy nośne z diodami LED zwisają z prostokątnej szklanej rozety sufitowej i uchodzą do kwadratowego elementu zamykającego, wykonanego z lekkiego metalu.  Dodatek do nowoczesnego stylu urządzania wnętrz mieszkalnych  Matowe, lśniące aluminium i ekstrawagancka konstrukcja sprawiają, że ten przejaw geniuszu firmy Escale przyciąga wzrok w każdym wnętrzu, w którym się znajduje. Dzięki swoim ponadczasowym ekskluzywnym produktom oświetleniowym, niemiecki lider rynku gwarantuje perfekcyjną obróbkę cennych materiałów i nowoczesny design.   Najnowocześniejsza technologia LED gwarantuje, że ta wyjątkowa lampa sufitowa jest bardzo funkcjonalna i ekonomiczna w użytkowaniu. Cztery elementy LED rzucają swoje promienie na jasną szklaną płytkę, która równomiernie odbija światło.  Dzięki zastosowaniu odpowiedniego ściemniacza, można zastosować funkcję Dim to warm lampy. Wówczas barwę światła lampy można ściemniać w zakresie od 3 000 do 2 000 K. ;50
257;  Lampa sufitowa Space, aluminium, 80 cm ;36;"https://lw-cdn.com/images/9E363D71A9F1/k_277dbff47e37e148c99da8c7f858f485;w_353;h_353;q_70/lampa-sufitowa-space-aluminium-80-cm.jpg";4102,36zł;Duża lampa sufitowa LED wprost z ręki designera, średnica 80 cm  Lampa sufitowa LED Space, stworzona przez Mosru Mohiuddina, mająca bardzo nowoczesny design i kolorystykę, idealnie pasuje do wnętrz urządzonych w stylu współczesnym. Charakteryzuje się on niezwykle powyginanym kształtem i zapewnia odpowiednie oświetlenie ogólne w salonie lub na przykład w sieni, gdzie diody LED zamontowane w formie taśm na ramionach lampy wytwarzają nastrojowe światło, dające ciepłobiały blask. Lampę możemy ściemniać. ;50
258;  Lindby Aylis lampa sufitowa czarna, drewno, 3-pkt. ;40;"https://lw-cdn.com/images/01900008780D/k_e33d4e6b276a5bfcdf47ab9a338adee9;w_353;h_353;q_70/lindby-aylis-lampa-sufitowa-czarna-drewno-3-pkt.jpg"; 247,89zł ;Lampa sufitowa Aylis z trzema czarnymi metalowymi kloszami i jasną drewnianą płytą  Aylis przekonuje atrakcyjnym wzornictwem, które stylistycznie pięknie przypomina styl przemysłowy, który coraz częściej znajduje zastosowanie nie tylko w loftach, ale także w zwykłych mieszkaniach. Klosze wykonane są z czarnego metalu i wyposażone są w kilka przegubów i śrub. Pozwala to również na obracanie i wychylanie źródeł światła do momentu uzyskania obrazu świetlnego spełniającego osobiste wymagania. Ładnym dodatkiem do wyglądu jest jasna płyta sufitowa ze sklejki, dzięki czemu lampa sufitowa również ucieleśnia naturalną nutę, która harmonijnie kontrastuje z czarną, metalową powierzchnią.     Pobierz:   Instrukcja obsługi                    (384 KB) ;50
259;  Lindby Aylis lampa sufitowa czarna, drewno, 2-pkt. ;40;"https://lw-cdn.com/images/587F0D06642C/k_6bb71b7317edc9799fb86a57bc3ca80b;w_353;h_353;q_70/lindby-aylis-lampa-sufitowa-czarna-drewno-2-pkt.jpg"; 164,96zł ;2-punktowa lampa sufitowa Aylis z kloszem z czarnego metalu i elementem ze sklejki  Aylis to lampa sufitowa, której ogólny wygląd przypomina styl przemysłowy. Klosze są wykonane z metalu i mają typowe dla tego stylu śruby i złącza, a także matową, czarną powierzchnię. Płyta sufitowa wykonana z jasnej sklejki służy jako kontrastujące, a jednocześnie harmonijne uzupełnienie, nadając całej konstrukcji naturalny wygląd. Dwa klosze można obracać i wychylać w zależności od potrzeb w celu precyzyjnego ustawienia.  Pobierz:   Instrukcja obsługi                    (258 KB) ;50
260;  Lampa sufitowa Louisanne, styl industrialny ;40;"https://lw-cdn.com/images/30EF0B39260E/k_50b6ff6fc03ac2426d3e18cda85ed890;w_353;h_353;q_70/lampa-sufitowa-louisanne-styl-industrialny.jpg"; 305,61zł ;Industrialnie wyglądająca lampa sufitowa Louisanne, wykonana z metalu w kolorze szarego betonu  Louisanne rzeczywiście wygląda jak lampa sufitowa o antycznym charakterze, ponieważ zastosowano tu znane formy rodem z przeszłości. Ponadto powierzchnia metalowego klosza opatrzona została betonowoszarym wykończeniem, które ma charakter industrialny. Louisanne jest więc lampą sufitową, która może być łączona zarówno ze stylami industrialnymi, jak i elementami antycznymi. Pobierz:   Instrukcja obsługi                    (437 KB) ;50
261;  Lindby Aylis lampa sufitowa czarna, drewno, 4-pkt. ;40;"https://lw-cdn.com/images/8A0A72F04110/k_409390df1e47d82656174837e3d3b0c8;w_353;h_353;q_70/lindby-aylis-lampa-sufitowa-czarna-drewno-4-pkt.jpg"; 344,63zł ;4-punktowa lampa sufitowa Aylis z czarnymi kloszami i płytą sufitową ze sklejki  Aylis to lampa sufitowa, która ucieleśnia coraz bardziej popularny styl industrialny. Zawdzięcza to przede wszystkim metalowym kloszom z ich matowo-czarną powierzchnią oraz widocznym połączeniom i wkrętom, które służą nie tylko do obracania i wychylania kloszy, ale także specyficznemu wyglądowi lampy. Jednak płyta sufitowa nie jest czarna jak reszta, lecz wykonana z atrakcyjnej sklejki o jasnej powierzchni. Styl przemysłowy uzupełniony jest naturalną nutą, która stanowiąc kontrast, nie jest pozbawiona pewnej harmonii. Pobierz:   Instrukcja obsługi                    (244 KB) ;50
262;  Lindby Mirka lampa sufitowa LED, sosna, 2-pkt. ;40;"https://lw-cdn.com/images/BD33D68EB634/k_5565480e5f86c650cc3b6de473e52b1e;w_353;h_353;q_70/lindby-mirka-lampa-sufitowa-led-sosna-2-pkt.jpg"; 305,61zł ;W modnym wzornictwie przemysłowym: reflektor sufitowy LED Mirka  Mirka to lampa sufitowa LED, która zachwyci Cię dzięki swojemu wyjątkowemu designowi. Oprawa sufitowa wykonana jest z drewna sosnowego, które dzięki swojemu naturalnemu usłojeniu nadaje lampie szczególnie wspaniały wygląd. Design dopełniają wykonane z betonu klosze, które czynią z lampy stylowy element wyposażenia wnętrz. Jasność światła można dostosować do własnych preferencji dzięki ściemnianym diodom LED i dopasować do każdego nastroju. Pobierz:   Instrukcja obsługi                    (449 KB) ;50
263;  2-punktowa lampa sufitowa LED Tamin, szary dymny ;40;"https://lw-cdn.com/images/042E3ADA1794/k_de9f2d2257d37173cef56a1fe3e0e27b;w_353;h_353;q_70/2-punktowa-lampa-sufitowa-led-tamin-szary-dymny.jpg"; 290,16zł ;Lampa sufitowa LED Tamin o industrialnym wyglądzie, z dwoma kloszami opatrzonymi siatką i ściemnianymi żarówkami G9  Tamin to lampa sufitowa LED, którą, jeśli chcemy, możemy zamontować także na ścianie. W wyglądzie lampy dominuje nuta industrialna. Efekt ten wywołuje nie tylko siatka, stanowiąca część kloszy. Kolejna osłona wykonana z białego mrożonego szkła zapewnia równomierne rozprowadzenie światła i efekt przyjemny dla oka. Dwa metalowe klosze można zarówno obracać, jak i odchylać, co pozwala na indywidualne ustawienie kierunku padania światła.   Żarówki G9 z technologią LED są energooszczędne, a jasność można regulować za pomocą zewnętrznego ściemniacza, co pozwala na lepszą ustawienie oświetlenia w pomieszczeniu i uzyskanie odpowiedniego nastroju. Pobierz:   Instrukcja obsługi                    (423 KB) ;50
264;  Rdzawobrązowa lampa sufitowa LED Tamin, 2-punktowa ;40;"https://lw-cdn.com/images/48DA38E81DAD/k_321fec870fdb944d0df180a395106a8a;w_353;h_353;q_70/rdzawobrazowa-lampa-sufitowa-led-tamin-2-punktowa.jpg"; 308,05zł ;2-punktowa lampa sufitowa LED Tamin w stylu industrialnym  Osłona w postaci siatki, znajdująca się nad kloszami, oraz wykończenie w kolorze prawdziwej rdzy sprawiają, że to ta lampa sufitowa LED wygląda nieco industrialnie, a zarazem nosi cechy starej lampy. Oba klosze można przesuwać w zależności od potrzeb, aby uzyskać lepsze efekty świetlne. Zakres dostawy obejmuje dwie żarówki LED G9, które są nie tylko energooszczędne, ale również dają możliwość regulacji jasności, jeśli dostępny jest ściemniacz zewnętrzny.   Tę lampę można zamontować także jako lampę ścienną.  Pobierz:   Instrukcja obsługi                    (521 KB) ;50
265;  Tamin – lampa sufitowa LED, styl industrialny ;40;"https://lw-cdn.com/images/CACAA63CCE18/k_54b6204260a8f701b3315d5f67b420df;w_353;h_353;q_70/tamin-lampa-sufitowa-led-styl-industrialny.jpg"; 362,52zł ;3-punktowa lampa sufitowa LED Tamin z matowoszarym wykończeniem i ściemnianymi żarówkami G9  Tamin ma wygląd nieco industrialny, co jest szczególnie związane z jej szarą powierzchnią i siatką nad żarówkami. Źródłem światła są trzy ściemniane żarówki G9 z technologią LED, które zapewniają energooszczędne oświetlenie. Mrożone szkło, znajdujące się za siatką, zapewnia równomierne rozprowadzenie światła, a poszczególne reflektory można indywidualnie obracać i odchylać w celu uzyskania efektu optymalnego rozchodzenia się światła.  Pobierz:   Instrukcja obsługi                    (459 KB) ;50
266;  3-punktowa lampa sufitowa LED Tamin, rdzawy brąz ;40;"https://lw-cdn.com/images/47BBAD20BE42/k_da37f3159c0e209bf0d738f67bccd985;w_353;h_353;q_70/3-punktowa-lampa-sufitowa-led-tamin-rdzawy-braz.jpg"; 418,62zł ;Lampa sufitowa LED Tamin w kolorze rdzy, z kloszami za siatką, wykonana z metalu, z żarówkami G9  Tamin jest wyposażona w żarówki LED G9, które z jednej strony oszczędzają energię, a z drugiej umożliwiają zmianę jasności światła za pomocą zewnętrznego ściemniacza. Optycznie ta lampa sufitowa LED łączy w sobie industrialny charakter z antykiem. Industrialny urok lampy zawdzięczamy przede wszystkim osłonom z siatki. Rdzawe wykończenie z kolei nie tylko wydaje się oryginalne, ale także wywołuje nostalgię u obserwatora, który ma wrażenie, że patrzy na lampę mającą już kilkadziesiąt lat.   Klosze o powierzchni w kolorze mroźnej bieli zapewniają równomierne rozchodzenie się światła.    Pobierz:   Instrukcja obsługi                    (314 KB) ;50
267;  Lampa sufitowa Jake w kolorze rdzy ;40;"https://lw-cdn.com/images/584E898427BD/k_cfe74f3b6e8586a9c6ecec14348e47b8;w_353;h_353;q_70/lampa-sufitowa-jake-w-kolorze-rdzy.jpg"; 47,07zł ;Lampa sufitowa Jake z żarówką o szczególnie pięknym wyglądzie  Czy naprawdę można powiedzieć, że Jake jest lampą sufitową? Wydaje się raczej, że jest to jedynie oprawka w kolorze rdzy o antycznym wykończeniu, co nadaje źródłu światła szczególne znaczenie i tym samym podkreśla trend obserwowany w branży oświetleniowej od kilku lat. Tym bardziej więc zaleca się jest wyposażenie lampy sufitowej Jake w szczególnie efektowne źródło światła, takie jak żarówka filamentowa z technologią LED.  Pobierz:   Instrukcja obsługi                    (374 KB) ;50
268;  Lindby Mirka lampa sufitowa LED, sosna, 3-pkt. ;40;"https://lw-cdn.com/images/0BAE2BB67130/k_478e75c973aed18ff8e5629104376354;w_353;h_353;q_70/lindby-mirka-lampa-sufitowa-led-sosna-3-pkt.jpg"; 495,85zł ;Mirka - lampa sufitowa LED o modnym, industrialnym designie  Wzornictwo przemysłowe charakteryzuje się wykorzystaniem specjalnych materiałów. Lampa sufitowa LED Mirka jest szczególnie pięknym przykładem stylu industrialnego dzięki uchwytowi z drewna sosnowego z naturalnie wyglądającym wykończeniem i betonowym kloszom. Wyposażona w ściemnialną żarówkę GU10, Mirka tworzy przytulną atmosferę z możliwością zmiany jasności światła. Ta lampa sufitowa nadaje się szczególnie do pokoju dziennego lub jako element przyciągający wzrok w korytarzu. Pobierz:   Instrukcja obsługi                    (479 KB) ;50
269;  Lampa sufitowa Tilen, 3-pkt. w stylu reflektorów ;40;"https://lw-cdn.com/images/62CECDDA5F85/k_8e886bc40840d504adafe981203e5664;w_353;h_353;q_70/lampa-sufitowa-tilen-3-pkt-w-stylu-reflektorow.jpg"; 438,94zł ;Nowoczesna lampa sufitowa Tilen w stylu klasycznych reflektorów scenicznych  Światło zgaszone, spot włączony: okrągła lampa sufitowa Tilen przyciąga wzrok każdego obserwatora. Jej trzy obrotowe i odchylane spoty nawiązują do wyglądu starych reflektorów, które były i są nadal często widywane na scenach lub u fotografów. Przestawiane klapy lampy sufitowej Tilen służą tu do regulacji promienia światła oraz pełnią rolę dekoracyjną. Mimo to Tilen dobrze oświetla pomieszczenia i nadaje się zarówno do stosowania w korytarzach, jak i w nowoczesnych salonach i jadalniach.  Pobierz:   Instrukcja obsługi                    (1.6 MB) ;50
270;  Lindby Asya lampa sufitowa, drewno, czarne ;40;"https://lw-cdn.com/images/AEBD019011F3/k_f68a72e9e249e30d44120384dbb99b9d;w_353;h_353;q_70/lindby-asya-lampa-sufitowa-drewno-czarne.jpg"; 381,22zł ;Rustykalna lampa sufitowa Asya z czarnego żelaza i dębu z wiejską atmosferą  Lampa sufitowa Asya ma szczególny urok dzięki swojej atrakcyjnej kolorystyce i solidnej konstrukcji. Drewniana belka jest mocowana poziomo do kompaktowego uchwytu sufitowego, który z kolei posiada trzy imadła i mieści trzy gniazda, do których można włożyć odpowiednie lampy. Aby nadać oprawie jeszcze bardziej ekscytujący wygląd, zaleca się stosowanie żarówek żarnikowych. Stylowe czarne żelazo i drewno dębowe tworzą harmonijną kombinację kolorów i nadają sufitowi przyciągające wzrok akcenty. Podłużny kształt lampy sufitowej Asya doskonale komponuje się z sufitem w salonie, przyciąga ciekawskich spojrzeń i roztacza przyjemną atmosferę wiejskiego domu w ramach wystroju wnętrza. Pobierz:   Instrukcja obsługi                    (315 KB)    Instrukcja obsługi 2                    (318 KB) ;50
271;  Czarno-złota lampa sufitowa LED Zera, easydim ;40;"https://lw-cdn.com/images/6244BBBCBD04/k_581d50c05419c524a5198a431f8d8d12;w_353;h_353;q_70/czarno-zlota-lampa-sufitowa-led-zera-easydim.jpg"; 134,88zł ;Dwupunktowa lampa sufitowa LED Zera z kloszami o złotym wnętrzu  Zera to naprawdę atrakcyjne źródło światła do salonu. Lampa posiada dwa klosze o pięknym kształcie, które są nie tylko jednokolorowe, ale wyróżniają się także swoją stroną zewnętrzną o antycznym wyglądzie, mającą wykończenie w kolorze rdzy i klosze o złotym wnętrzu. Niektóre style o wyglądzie gdzieś pomiędzy industrialem, nostalgią i antycznością można więc unowocześnić lampą Zera, a uzyskane w ten sposób światło charakteryzuje się przytulnością.  Dołączone w zestawie żarówki wyposażone są w technologię easydim, co oznacza, że można je przyciemnić tylko kilkoma ruchami ręki, korzystając ze zwykłego przełącznika ściennego. Jeśli lampa sufitowa LED jest już załączona, można łatwo rozpocząć proces ściemniania przez dwukrotne naciśnięcie przycisku w czasie krótszym niż dwie sekundy. Następnie mamy dwie opcje: Można albo poczekać, aż wartość jasności osiągnie 10 procent, albo też można powtórzyć proces przełączania i ustawić wybraną jasność.  Pobierz:   Instrukcja obsługi                    (539 KB) ;50
272;  Lampa sufitowa Gina, 4-punktowa, nikiel matowy ;40;"https://lw-cdn.com/images/CC47848A924D/k_e31608825e286d9acbcdc5d97ec88d8f;w_353;h_353;q_70/lampa-sufitowa-gina-4-punktowa-nikiel-matowy.jpg";300,73zł;Oświetlenie sufitowe Gina z czterema obrotowymi i odchylanymi reflektorami  Cały wygląd czteroświetlnej lampy sufitowej Gina doskonale pasuje do pomieszczeń mieszkalnych, które zostały zaprojektowane w stylu industrialnym: Lofty, a także zaadaptowane budynki warsztatowe i fabryczne. Ale można go również wykorzystać do urozmaicenia innych aktualnych trendów w domu. Nie tylko emituje wspaniałe oświetlenie ogólne, które dzięki ruchomym punktom może być wielokrotnie zmieniane, ale także nadaje każdemu pomieszczeniu industrialny charakter. ;50
273;  4-punktowa lampa sufitowa KADIGA z betonu ;40;"https://lw-cdn.com/images/07943252046E/k_52cd903215155cc7dedfb86ea1940d31;w_353;h_353;q_70/4-punktowa-lampa-sufitowa-kadiga-z-betonu.jpg"; 514,55zł ;Regulowana LED-lampa sufitowa KADIGA z betonu, 4-punktowa  KADIGA sprawdzi się doskonale w kuchni, gdyż jej głowice zapewniają dobre oświetlenie. Jej szczególną cechą jest to, iż klosze nie są wykonane ze szkła, metalu czy też tkaniny, lecz z betonu, z którego również wykonana jest belka. Dzięki niemu lampa od razu budzi skojarzenia ze stylem industrialnym, gdyż beton jest materiałem stosowanym przede wszystkim na budowie, lecz rzadko w produkcji elementów wystroju wnętrz. Ale to, co jest rzadkością niekoniecznie musi być złe, czego dowodem jest właśnie lampa KADIGA. Mimo chłodnej barwy prezentuje się doskonale i stanowi stylowy dodatek do nowoczesnych lub industrialnych wnętrz. Pobierz:   Instrukcja obsługi                    (333 KB) ;50
274;  Carmen Wood - lampa sufitowa, 2-pkt. ;40;"https://lw-cdn.com/images/DD79CE8DDF79/k_07e0b7621f4a6fb65d9ad52907b631f2;w_353;h_353;q_70/carmen-wood-lampa-sufitowa-2-pkt.jpg";290,16zł;2-punktowa lampa sufitowa Carmen Wood - zainspirowana światem przemysłu  Lampa sufitowa Carmen Wood nastraja nostalgicznie i przekonuje do siebie funkcjonalnością. Dzięki połączeniu ciepłego drewna i chłodnego metalu powstaje ciekawy i sympatyczny efekt. Oba klosze można niezależnie od siebie przekręcać, aby postawić akcenty świetlne lub zapewnić jasne oświetlenie tła.  Wszystkie rodzaje wystroju wnętrz stawiające na aspekty praktyczne zyskają przy tym inteligentnie zaprojektowanym modelu. Dwupunktową lampę sufitową Carmen Wood można również z powodzeniem użyć w nowoczesnych wnętrzach. Czy to w salonie czy w sypialni, w korytarzu czy w domowym biurze - lampa sufitowa Carmen Wood z dwoma metalowymi kloszami pasuje do każdego pomieszczenia.  ;50
275;  Lindby Mirka lampa sufitowa LED, sosna, 4-pkt. ;40;"https://lw-cdn.com/images/539836800ACA/k_36baab066932cef41ac7f3327f8bdb77;w_353;h_353;q_70/lindby-mirka-lampa-sufitowa-led-sosna-4-pkt.jpg"; 609,67zł ;Modna lampa sufitowa LED Mirka z betonu, z możliwością ściemniania  Lampa sufitowa LED Mirka jest w pełni zgodna z trendami dzięki kształtnym kloszom z betonu i uchwytowi z ciemnego, naturalnie wyglądającego drewna sosnowego. Lampa doskonale ucieleśnia industrialny design i stanowi uzupełnienie nowoczesnego salonu lub jadalni. Cztery płomienie promieniują w różnych kierunkach w zależności od ustawienia i zapewniają w ten sposób optymalne oświetlenie przytulnym, ciepłym, białym światłem. Ponadto dzięki ściemnianym diodom LED można zmieniać jasność światła w zależności od osobistych preferencji. Pobierz:   Instrukcja obsługi                    (696 KB) ;50
276;  Spot sufitowy Lovro, 4-punktowy ;40;"https://lw-cdn.com/images/BB20BFB5E471/k_bbd2abe22aaafdeabcb7cee58ba26174;w_353;h_353;q_70/spot-sufitowy-lovro-4-punktowy.jpg"; 282,85zł ;Czarno-srebrna lampa sufitowa Lovro z czterema reflektorami  Zaprojektowana w nowoczesnym i atrakcyjnym stylu industrialnym, 4-punktowa lampa sufitowa Lovro urzeka nie tylko swoim stylowym wyglądem zewnętrznym. Cztery reflektory oprawy, wyposażone w żarówki GU10, można indywidualnie obracać i odchylać, co pozwala na ich dopasowanie do potrzeb. Do tego oprawa jest podzielona na dwie części i posiada dwa ramiona, na których zamontowane są po dwa reflektory. Ramiona te mogą być również regulowane w celu zapewnienia optymalnego światła i dostosowania oświetlenia do pomieszczenia.  Pobierz:   Instrukcja obsługi                    (420 KB) ;50
277;  Lampa sufitowa Gina, 3-punktowa, biała ;40;"https://lw-cdn.com/images/2A054740E34C/k_ef324ba89341fcf9fdd2ec3d07705203;w_353;h_353;q_70/lampa-sufitowa-gina-3-punktowa-biala.jpg";254,39zł;Gina - trzylampowa lampa sufitowa w stylu industrialnym  Lampa sufitowa Gina z trzema źródłami światła roztacza industrialny klimat w każdym nowoczesnym salonie. Zgodnie z projektem, to komfortowe źródło światła znajdzie swoje miejsce oczywiście w otoczeniu o architektonicznym stylu, takim jak mieszkanie na poddaszu lub warsztat przekształcony w przestrzeń mieszkalną. Dzięki elastycznie regulowanym spotom lampa sufitowa Gina zapewnia oświetlenie, które zawsze można dopasować do okoliczności. ;50
278;  Lampa sufitowa Pilen, 2-pkt. w stylu reflektora ;40;"https://lw-cdn.com/images/9863718528F5/k_3b0508aa863dd816e2d959296bb6aa93;w_353;h_353;q_70/lampa-sufitowa-pilen-2-pkt-w-stylu-reflektora.jpg";499,92zł;Tilen – 2-punktowa lampa sufitowa ze spotami w stylu reflektorów  Nowoczesna lampa sufitowa Tilen jest źródłem światła i niewątpliwą atrakcją wizualną. Oba spoty zostały zaprojektowane w stylu starych reflektorów i wyposażone w charakterystyczne klapy. Pełnią one tu jednak więcej funkcji dekoracyjnych, ale nadal można je indywidualnie przestawiać. Oba spoty są również regulowane i można je obracać oraz odchylać, aby oświetlić każdy kąt pomieszczenia. Tilen to nowoczesny system oświetlenia salonów, korytarzy i jadalni.  Pobierz:   Instrukcja obsługi                    (1.5 MB) ;50
279;  Lindby Biona spot sufitowy LED, złoty, 3-pkt. ;40;"https://lw-cdn.com/images/06072B06868B/k_4657901b77dbaad27189473ff1e1650b;w_353;h_353;q_70/lindby-biona-spot-sufitowy-led-zloty-3-pkt.jpg"; 324,31zł ;Spot sufitowy LED Biona z dyskretnym złotym pierścieniem  Trzy klosze są przymocowane do okrągłego uchwytu sufitowego lampy sufitowej LED Biona. Można je obracać, dzięki czemu światło może być kierowane indywidualnie. Klosze wykonane są z matowego, czarnego metalu i mają w środku dyskretny pierścień w kolorze złotym. Dodatkowo są one wyposażone w siatkę, która nadaje lampie modny vintage look. Dodatkowo, kratka chroni źródło światła LED wewnątrz. Oświetlacz emituje ciepłe, białe światło, które nie oślepia dzięki satynowanej powierzchni. W razie potrzeby można go usunąć i wymienić. Pobierz:   Instrukcja obsługi                    (340 KB) ;50
280;  Lampa sufitowa Skansen 3-pkt. regulowana, czarna ;40;"https://lw-cdn.com/images/33C6724598C8/k_104ca74c08cc3817f8c4384000f13a7a;w_353;h_353;q_70/lampa-sufitowa-skansen-3-pkt-regulowana-czarna.jpg"; 471,46zł ;;50
281;  Spot sufitowy Zoja, 2-punktowy ;40;"https://lw-cdn.com/images/AF532F25047A/k_0577186b0469077af4a6d6ca8def168e;w_353;h_353;q_70/spot-sufitowy-zoja-2-punktowy.jpg"; 210,49zł ;Nowoczesny wygląd reflektora – 2-punktowy spot sufitowy Zoja  Lampa sufitowa, która przekonuje na pierwszy rzut oka i idealnie nadaje się dla miłośników nowoczesnego, industrialnego stylu z akcentem retro: reflektor sufitowy Zoja posiada dwa spoty, których wygląd przypomina reflektory starych samochodów. Rozświetlają one pomieszczenie z poziomu sufitu, zapewniając jasność i nie powodując oślepienia, a oprócz dobrego oświetlenia ogólnego są również wyjątkowo atrakcyjne. Lampa sufitowa Zoja może być używana na wiele sposobów – czy to w domowym salonie, czy w korytarzu. Pobierz:   Instrukcja obsługi                    (296 KB) ;50
282;  Lampa sufitowa Gittan, 1-punktowa ;40;"https://lw-cdn.com/images/83D718217834/k_2d2d3b0e272ed20741aaf2f5139449b1;w_353;h_353;q_70/lampa-sufitowa-gittan-1-punktowa.jpg"; 117,80zł ;Lampa sufitowa jednopłomieniowa Gittan z uchwytem betonowym i kloszem z metalowej siatki  Oprawa sufitowa Gittan z kwadratową podstawą prezentuje się jako idealne uzupełnienie nowoczesnego strychu przemysłowego. Jego odcień jest otwartym pionowo prostopadłościanem, którego boki pokryte są chromowaną siatką. Centralne, skierowane ku dołowi gniazdo E27 jest również metaliczne i posiada dekoracyjny gwint na zewnątrz. Płaski, szary betonowy prostopadłościan służy jako wspornik sufitowy, który dopełnia mechaniczny, minimalistyczny wygląd ogólny. ;50
283;  Lindby Adeon lampa sufitowa LED, 3-punktowa ;40;"https://lw-cdn.com/images/A1DAB2AAEB43/k_adba5937391ade9848b3c51343dc78be;w_353;h_353;q_70/lindby-adeon-lampa-sufitowa-led-3-punktowa.jpg"; 381,22zł ;Lampa sufitowa LED Adeon promieniuje rustykalnym urokiem  Trzylampowe światło sufitowe LED Adeon charakteryzuje się kloszami. Są one szczególnie praktyczne, ponieważ można je obracać. Dzięki temu można je dowolnie ustawiać, tak aby optymalnie oświetlały każde pomieszczenie. Ponadto, odcienie zostały zaopatrzone w kochające szczegóły. Na przykład, przed lampą znajduje się zakrzywiona kratka. Został on pomalowany rdzawo-brązowym odcieniem, aby dopasować go do koloru. Dzięki temu Adeon przypomina lampy, które są zainstalowane na starych statkach. Dzięki temu rustykalnemu urokowi Adeon jest wspaniałym elementem dekoracyjnym, a jednocześnie sprytnym rozwiązaniem oświetleniowym. Pobierz:   Instrukcja obsługi                    (423 KB) ;50
284;  Lampa kuchenna Julin w stylu vintage, czteropunkt. ;40;"https://lw-cdn.com/images/3DD69BF778BA/k_23ec00410c6afb84852daf5e9f238569;w_353;h_353;q_70/lampa-kuchenna-julin-w-stylu-vintage-czteropunkt.jpg"; 343,82zł ;Julin - srebrna kuchenna lampa w stylu vintage z czterema metalowymi kloszami  Swój wygląd w stylu vintage lampa kuchenna Julin zawdzięcza temu, że wewnętrzna część kloszy jest nieregularnie pokryta srebrną folią, co sprawia wrażenie łuszczenia się farby. Zewnętrzna część kloszy oraz reszta oprawy ma matowe niklowe wykończenie. Ponadto każdy klosz można w zależności od potrzeb obracać i odchylać. Do ogólnego oświetlenia podstawowego w kuchni!  Pobierz:   Instrukcja obsługi                    (254 KB) ;50
